iter	Logloss
0	0.6583244853
1	0.6307252438
2	0.6031555024
3	0.5788656876
4	0.5607825123
5	0.5415949893
6	0.5247908244
7	0.510517169
8	0.4984153869
9	0.4886747304
10	0.4795718594
11	0.4713684674
12	0.4641100853
13	0.4583157542
14	0.4522044653
15	0.4469854755
16	0.4427022461
17	0.4387555444
18	0.4342686428
19	0.4324984506
20	0.4289479769
21	0.4258238627
22	0.4229132356
23	0.4201746256
24	0.4168171943
25	0.41428828
26	0.4122170837
27	0.4100418835
28	0.4081088108
29	0.4056332476
30	0.4038747222
31	0.4024754572
32	0.4013630006
33	0.39941644
34	0.3979341552
35	0.3969673457
36	0.395536333
37	0.3939866543
38	0.3927598205
39	0.3915358421
40	0.3905794763
41	0.3895063834
42	0.3883725516
43	0.3871624476
44	0.3861772563
45	0.3849999558
46	0.3840985946
47	0.3830800645
48	0.3816995725
49	0.3806212754
50	0.3798496056
51	0.379216369
52	0.3783385411
53	0.3777293217
54	0.3772079979
55	0.3770660682
56	0.3762667159
57	0.3755556629
58	0.3748084277
59	0.3741903081
60	0.3736425629
61	0.3727241745
62	0.3717403694
63	0.3708602312
64	0.3702368587
65	0.3694019383
66	0.3688184567
67	0.3680945637
68	0.3674161037
69	0.3665258386
70	0.3658284718
71	0.3649213545
72	0.3648819217
73	0.3641775605
74	0.3638857244
75	0.3630753049
76	0.3624394105
77	0.3617837253
78	0.3611328359
79	0.3606469432
80	0.3599464147
81	0.359258389
82	0.3587616324
83	0.3581530549
84	0.3577446657
85	0.3571191077
86	0.3565264591
87	0.3560677923
88	0.355447766
89	0.3553555979
90	0.3547065061
91	0.354132464
92	0.3537591422
93	0.3531582044
94	0.3525569415
95	0.3523312915
96	0.3516486312
97	0.3510499465
98	0.3506297764
99	0.3500745807
100	0.3497194077
101	0.3490383957
102	0.3486354425
103	0.3479179967
104	0.3475158643
105	0.3468173805
106	0.3463512827
107	0.3456030591
108	0.3452755755
109	0.3446101693
110	0.3441533141
111	0.3437408072
112	0.3430681088
113	0.3425921167
114	0.3421367476
115	0.3414662263
116	0.3408404252
117	0.3403638787
118	0.3397867499
119	0.3391538485
120	0.3384267941
121	0.337985123
122	0.3376043034
123	0.3371965541
124	0.3367248423
125	0.3365425939
126	0.3362005735
127	0.335879603
128	0.3355792055
129	0.3353376975
130	0.3346614044
131	0.334218343
132	0.3337819979
133	0.3337700799
134	0.3333586872
135	0.3331647672
136	0.3328295454
137	0.3321272413
138	0.3316712138
139	0.3310190539
140	0.3305367781
141	0.33015876
142	0.3296818735
143	0.3293751398
144	0.3290721692
145	0.3287795546
146	0.3284257831
147	0.3280009619
148	0.3277208142
149	0.3272231312
150	0.3268354192
151	0.326401552
152	0.3259522499
153	0.3255752003
154	0.3249983263
155	0.3243222168
156	0.3240213039
157	0.3235723108
158	0.3229905858
159	0.3226160895
160	0.3222089855
161	0.3219192963
162	0.3216115484
163	0.3214059371
164	0.3208988702
165	0.3205203439
166	0.3201527639
167	0.3199060543
168	0.3195340639
169	0.3189201221
170	0.3185587591
171	0.318289083
172	0.317970332
173	0.3176190318
174	0.317492434
175	0.3171358535
176	0.3168070031
177	0.3164064157
178	0.316058692
179	0.3158382582
180	0.3155844357
181	0.3151849535
182	0.3148523936
183	0.3144517307
184	0.3138846012
185	0.3135955392
186	0.3132740358
187	0.3128954821
188	0.3125458178
189	0.3121262806
190	0.3116777676
191	0.3113125074
192	0.3110363313
193	0.3107702439
194	0.3101243232
195	0.309961656
196	0.3098107345
197	0.3094723047
198	0.3090974602
199	0.3084943356
200	0.3083162777
201	0.3080369694
202	0.3078495666
203	0.3075315229
204	0.3070620732
205	0.306774584
206	0.3065349043
207	0.3063501767
208	0.3060603724
209	0.3055576397
210	0.3049945388
211	0.3044555292
212	0.303700629
213	0.3034806623
214	0.3029889433
215	0.3027039773
216	0.302192346
217	0.3017334787
218	0.301347606
219	0.3011619095
220	0.3007333604
221	0.3005785892
222	0.3002079734
223	0.2998984894
224	0.2994317833
225	0.2988387727
226	0.298561125
227	0.2983700861
228	0.2980591524
229	0.2975382177
230	0.2972196238
231	0.2969086078
232	0.2964482959
233	0.2961851623
234	0.2960210729
235	0.2954160959
236	0.2949505898
237	0.2946376092
238	0.2943068196
239	0.2940226185
240	0.293548297
241	0.2932572392
242	0.2929277407
243	0.2924989725
244	0.2922535092
245	0.2920145716
246	0.2916488679
247	0.2914628901
248	0.29131155
249	0.2911715638
250	0.2907813605
251	0.2905163908
252	0.2902348686
253	0.2900117445
254	0.2896817182
255	0.2892938745
256	0.2890867571
257	0.2887990432
258	0.2885928867
259	0.288292436
260	0.2879124399
261	0.2874450928
262	0.2870923915
263	0.2866856847
264	0.2861432823
265	0.2858475505
266	0.2855527728
267	0.2852483759
268	0.2850964982
269	0.2849365851
270	0.2846686982
271	0.2841643642
272	0.283987815
273	0.2835454068
274	0.2832895608
275	0.2830486304
276	0.2827361324
277	0.2824489082
278	0.282367775
279	0.2819467329
280	0.2817781367
281	0.2815428448
282	0.2811819904
283	0.2808045076
284	0.2806577796
285	0.2803031234
286	0.280071543
287	0.279411352
288	0.2789206296
289	0.2784648623
290	0.2782592578
291	0.2780202943
292	0.2779027308
293	0.2775632903
294	0.2772621218
295	0.2768825101
296	0.2765542822
297	0.2763008713
298	0.2761969864
299	0.2759999285
300	0.275864813
301	0.2754222093
302	0.2751420863
303	0.2749314992
304	0.2745794572
305	0.2742522525
306	0.2739471038
307	0.2737552167
308	0.2733827132
309	0.273212363
310	0.2729246325
311	0.2725921516
312	0.2721678772
313	0.2718408874
314	0.271533274
315	0.2714070292
316	0.2712240735
317	0.2707315639
318	0.2704036049
319	0.2702091953
320	0.2697447975
321	0.2694353057
322	0.2692634616
323	0.2690449657
324	0.268856575
325	0.2686213239
326	0.2684246056
327	0.2682206529
328	0.2680090448
329	0.2677889964
330	0.2673971567
331	0.2669780026
332	0.2667536219
333	0.2662523563
334	0.2659566893
335	0.2658342143
336	0.2655427622
337	0.2652207456
338	0.2649604668
339	0.2647514668
340	0.2646275082
341	0.2642341329
342	0.2638846638
343	0.2635188137
344	0.2631879015
345	0.2628794548
346	0.2625362848
347	0.2622841212
348	0.2620529222
349	0.2619475509
350	0.2618021201
351	0.2614255435
352	0.2612140667
353	0.2608800771
354	0.2606549416
355	0.2603620183
356	0.2599790119
357	0.2596736427
358	0.2595801257
359	0.2592928581
360	0.2587862371
361	0.258537514
362	0.2583217513
363	0.257977106
364	0.2576797018
365	0.2575448471
366	0.2573465002
367	0.2571543506
368	0.2568145817
369	0.2566015921
370	0.2563340853
371	0.2561783215
372	0.2558890304
373	0.2557244522
374	0.2555638336
375	0.2553435218
376	0.2550431817
377	0.2547953679
378	0.2546388619
379	0.254568531
380	0.2543375961
381	0.2539214671
382	0.2536384572
383	0.2534072837
384	0.2532250254
385	0.2530894001
386	0.2530250226
387	0.2525538584
388	0.2524450791
389	0.2521898745
390	0.2517461862
391	0.2515175063
392	0.2512571442
393	0.2511761561
394	0.2509599976
395	0.2507265858
396	0.2505015422
397	0.250271262
398	0.2502314045
399	0.2498917711
