iter	Passed	Remaining
0	2	1003
1	4	992
2	7	986
3	9	977
4	11	914
5	13	916
6	16	921
7	18	924
8	21	926
9	23	925
10	26	924
11	28	924
12	31	924
13	33	922
14	35	921
15	38	922
16	40	919
17	42	900
18	44	901
19	45	872
20	48	872
21	50	872
22	53	872
23	55	871
24	58	871
25	60	870
26	62	870
27	65	868
28	67	867
29	70	866
30	72	864
31	75	862
32	77	861
33	79	860
34	82	859
35	84	857
36	87	856
37	89	854
38	92	853
39	94	852
40	97	849
41	99	848
42	101	846
43	104	844
44	106	842
45	109	840
46	111	838
47	114	836
48	116	834
49	118	832
50	121	830
51	123	829
52	126	829
53	129	827
54	131	825
55	132	815
56	135	813
57	137	811
58	140	809
59	142	807
60	144	805
61	147	802
62	149	801
63	152	798
64	154	796
65	157	794
66	159	792
67	161	790
68	164	788
69	166	786
70	169	784
71	171	782
72	172	773
73	175	772
74	177	770
75	183	783
76	186	781
77	188	779
78	191	776
79	193	774
80	195	771
81	198	769
82	200	766
83	203	764
84	205	761
85	207	759
86	210	756
87	212	754
88	215	752
89	216	745
90	218	743
91	221	741
92	223	739
93	226	736
94	228	734
95	233	738
96	235	736
97	238	734
98	240	731
99	243	729
100	245	726
101	247	724
102	250	722
103	252	719
104	255	717
105	257	714
106	260	712
107	262	709
108	264	707
109	267	704
110	269	702
111	272	700
112	274	697
113	277	694
114	279	692
115	281	690
116	284	687
117	286	685
118	289	683
119	291	680
120	294	678
121	296	675
122	299	673
123	301	671
124	303	668
125	306	666
126	308	663
127	311	661
128	313	658
129	315	656
130	318	653
131	320	651
132	323	648
133	324	643
134	326	641
135	328	638
136	331	636
137	333	633
138	336	631
139	338	628
140	341	626
141	343	624
142	345	621
143	348	619
144	350	616
145	353	614
146	355	612
147	358	609
148	360	607
149	362	604
150	366	603
151	369	603
152	372	601
153	375	599
154	377	597
155	380	594
156	382	591
157	384	589
158	387	587
159	390	585
160	392	582
161	394	580
162	397	577
163	399	575
164	402	572
165	404	570
166	406	567
167	409	565
168	411	562
169	414	560
170	416	558
171	419	555
172	421	553
173	423	550
174	426	548
175	428	545
176	431	543
177	433	540
178	436	538
179	438	536
180	440	533
181	443	531
182	445	528
183	448	526
184	450	523
185	453	521
186	455	518
187	457	516
188	460	513
189	462	511
190	465	509
191	467	506
192	470	504
193	472	501
194	474	499
195	477	496
196	479	494
197	482	491
198	484	489
199	486	486
200	489	484
201	491	481
202	494	479
203	496	476
204	498	474
205	501	472
206	503	469
207	506	467
208	508	464
209	510	462
210	513	459
211	515	457
212	518	454
213	520	452
214	522	449
215	525	447
216	527	445
217	530	442
218	532	440
219	537	439
220	542	439
221	548	440
222	554	440
223	558	439
224	561	436
225	563	434
226	566	431
227	568	428
228	570	426
229	573	423
230	575	421
231	578	418
232	580	416
233	583	413
234	585	411
235	587	408
236	590	405
237	592	403
238	595	400
239	597	398
240	599	395
241	602	393
242	604	390
243	607	388
244	609	385
245	611	383
246	614	380
247	616	377
248	619	375
249	621	372
250	623	370
251	626	367
252	628	365
253	631	362
254	633	360
255	636	357
256	638	355
257	640	352
258	643	350
259	645	347
260	648	345
261	650	342
262	653	340
263	655	337
264	657	335
265	660	332
266	662	330
267	665	327
268	667	325
269	669	322
270	672	320
271	674	317
272	677	315
273	679	312
274	681	309
275	684	307
276	686	305
277	691	303
278	693	300
279	695	298
280	698	295
281	700	293
282	703	290
283	705	288
284	708	285
285	710	283
286	712	280
287	715	278
288	717	275
289	720	273
290	722	270
291	724	268
292	727	265
293	729	263
294	732	260
295	734	258
296	736	255
297	739	253
298	741	250
299	744	248
300	746	245
301	749	243
302	751	240
303	753	238
304	756	235
305	758	233
306	761	230
307	763	228
308	766	225
309	768	223
310	770	220
311	773	218
312	775	215
313	778	213
314	780	210
315	782	208
316	785	205
317	787	203
318	790	200
319	795	198
320	798	196
321	800	193
322	803	191
323	805	189
324	814	188
325	819	185
326	824	184
327	843	185
328	853	184
329	859	182
330	867	180
331	877	179
332	884	177
333	893	176
334	899	174
335	906	172
336	913	170
337	932	171
338	941	169
339	948	167
340	952	164
341	955	162
342	958	159
343	962	156
344	965	153
345	968	151
346	971	148
347	975	145
348	977	142
349	980	140
350	982	137
351	984	134
352	987	131
353	989	128
354	992	125
355	994	122
356	996	120
357	999	117
358	1001	114
359	1003	111
360	1006	108
361	1008	105
362	1011	103
363	1013	100
364	1016	97
365	1018	94
366	1020	91
367	1023	88
368	1025	86
369	1028	83
370	1030	80
371	1033	77
372	1035	74
373	1038	72
374	1041	69
375	1044	66
376	1047	63
377	1049	61
378	1052	58
379	1054	55
380	1057	52
381	1059	49
382	1061	47
383	1064	44
384	1066	41
385	1069	38
386	1071	35
387	1074	33
388	1076	30
389	1078	27
390	1081	24
391	1083	22
392	1086	19
393	1088	16
394	1091	13
395	1095	11
396	1098	8
397	1100	5
398	1103	2
399	1105	0
