Feature,Importance
categorical__Contract_Month-to-month,0.38247849988554605
categorical__InternetService_Fiber optic,0.13579311793213855
numeric__tenure,0.1352087331198352
numeric__TotalCharges,0.08961665438558848
numeric__MonthlyCharges,0.08597999693811455
categorical__PaymentMethod_Electronic check,0.03721290593239601
categorical__InternetService_No,0.014060877112052351
categorical__TechSupport_Yes,0.011051430827139592
categorical__PaperlessBilling_No,0.009215079410688233
categorical__Contract_Two year,0.008652607956432001
categorical__OnlineSecurity_Yes,0.008032649502619883
categorical__SeniorCitizen_1,0.007974872774235716
categorical__PaperlessBilling_Yes,0.006924981132299921
categorical__TechSupport_No,0.006434780231721306
categorical__StreamingMovies_Yes,0.0056600817538350725
categorical__OnlineSecurity_No,0.0052428496550483905
categorical__StreamingMovies_No,0.004706331215371258
categorical__OnlineBackup_Yes,0.00434205290903924
categorical__SeniorCitizen_False,0.0042311105518433945
categorical__PhoneService_Yes,0.004215930067934607
categorical__MultipleLines_Yes,0.0035936183070589753
categorical__Contract_One year,0.0033361361448459594
categorical__gender_Female,0.003093089731474027
categorical__PhoneService_No,0.0029035862006128745
categorical__PaymentMethod_Credit card (automatic),0.0028017489481438427
categorical__MultipleLines_No,0.0022922270886993976
categorical__SeniorCitizen_True,0.0018596870862242884
categorical__StreamingTV_Yes,0.0018574609472835726
categorical__SeniorCitizen_0,0.0017092235090966656
categorical__OnlineBackup_No,0.0012611902631493145
categorical__PaymentMethod_Mailed check,0.0011485477205355813
categorical__StreamingTV_No,0.00111283673460224
categorical__DeviceProtection_No,0.0010612567944254779
categorical__Dependents_Yes,0.000966529008195762
categorical__InternetService_DSL,0.0008117968154436994
categorical__Dependents_No,0.0007228330344008987
categorical__DeviceProtection_Yes,0.0006005879357713561
categorical__PaymentMethod_Bank transfer (automatic),0.0005371531651328467
categorical__Partner_Yes,0.00048615524563078665
categorical__gender_Male,0.0004157345534241889
categorical__Partner_No,0.0003930574719685353
