Feature,Importance
categorical__Contract_Month-to-month,0.38000751940405086
numeric__tenure,0.13512728074878014
categorical__InternetService_Fiber optic,0.13493140043410815
numeric__TotalCharges,0.0953711713338092
numeric__MonthlyCharges,0.0949557255543682
categorical__PaymentMethod_Electronic check,0.03653106292791766
categorical__InternetService_No,0.013649107985752008
categorical__TechSupport_Yes,0.012606079085288971
categorical__PaperlessBilling_Yes,0.009227451300845901
categorical__OnlineSecurity_Yes,0.00809716173654455
categorical__Contract_Two year,0.007645836926220292
categorical__PaperlessBilling_No,0.006638417991964978
categorical__SeniorCitizen_Yes,0.006392453053283119
categorical__OnlineBackup_No,0.0063085840532856475
categorical__PhoneService_Yes,0.005695672592904662
categorical__StreamingMovies_No,0.005666564091337944
categorical__SeniorCitizen_No,0.004897534497866342
categorical__TechSupport_No,0.004475826597143866
categorical__OnlineSecurity_No,0.004179254260924011
categorical__StreamingMovies_Yes,0.004099961557224004
categorical__Contract_One year,0.003411782008070004
categorical__MultipleLines_Yes,0.0033559572845028016
categorical__PaymentMethod_Credit card (automatic),0.0024415392682878355
categorical__MultipleLines_No,0.002104593826655014
categorical__gender_Male,0.0020710664677904135
categorical__PhoneService_No,0.00166834961940092
categorical__StreamingTV_Yes,0.0015093817800216761
categorical__OnlineBackup_Yes,0.0012767099046097866
categorical__DeviceProtection_No,0.0009122629965246256
categorical__gender_Female,0.0008737872640251707
categorical__StreamingTV_No,0.0007898224485470447
categorical__Partner_No,0.0005694326574903188
categorical__PaymentMethod_Mailed check,0.000542935927154725
categorical__Dependents_No,0.0004992175208883436
categorical__InternetService_DSL,0.0004687819557865004
categorical__DeviceProtection_Yes,0.0004668622902019948
categorical__Partner_Yes,0.0003620133187453664
categorical__PaymentMethod_Bank transfer (automatic),0.00017143732767702742
categorical__Dependents_Yes,0.0
