Model,Accuracy,Precision,Recall,F1,ROC_AUC,Cross_Validation
CatBoost,0.8028,0.6504,0.5506,0.5963,0.859,0.7972
Gradient Boosting,0.7968,0.6314,0.5581,0.5924,0.8555,0.8021
Logistic Regression,0.7998,0.6327,0.5805,0.6055,0.8526,0.8029
AdaBoost,0.7879,0.6128,0.5393,0.5737,0.8483,0.7994
Random Forest,0.7939,0.6347,0.5206,0.572,0.8414,0.7907
LightGBM,0.7849,0.6016,0.5543,0.577,0.8403,0.7845
XGBoost,0.774,0.5783,0.5393,0.5581,0.8234,0.7776
SVM,0.8077,0.6667,0.5468,0.6008,0.8148,0.8034
KNN,0.7899,0.6096,0.573,0.5907,0.8124,0.7771
Decision Tree,0.7116,0.4603,0.5206,0.4886,0.6519,0.7267
