Feature,Importance
numeric__tenure,15.884319103538614
categorical__Contract_Month-to-month,13.166554677868175
numeric__MonthlyCharges,11.49840347447128
categorical__Contract_Two year,10.656527465199737
categorical__InternetService_Fiber optic,9.9030533990325
numeric__TotalCharges,6.598031805128811
categorical__InternetService_No,4.145723064827242
categorical__InternetService_DSL,3.352822297478484
categorical__PaymentMethod_Electronic check,3.339974643319239
categorical__PaperlessBilling_No,1.5509945323062766
categorical__Contract_One year,1.296097991344058
categorical__TechSupport_No,1.1078548029331794
categorical__OnlineSecurity_Yes,1.1049689448945603
categorical__PaperlessBilling_Yes,1.0677427265993973
categorical__TechSupport_Yes,1.0579322370571
categorical__PaymentMethod_Credit card (automatic),0.9591259064057486
categorical__StreamingMovies_No,0.9346359919681948
categorical__PaymentMethod_Mailed check,0.8875031970599073
categorical__MultipleLines_No,0.8097716398681334
categorical__OnlineSecurity_No,0.7942855855904714
categorical__StreamingMovies_Yes,0.7787207807523396
categorical__SeniorCitizen_No,0.7104025683706839
categorical__StreamingTV_Yes,0.7062667016253265
categorical__SeniorCitizen_Yes,0.6902114387713953
categorical__OnlineBackup_Yes,0.6695761513822582
categorical__StreamingTV_No,0.6316740091989862
categorical__PaymentMethod_Bank transfer (automatic),0.6304375272570742
categorical__OnlineBackup_No,0.5384921535486764
categorical__PhoneService_Yes,0.5365303352737476
categorical__Partner_Yes,0.5280297113882971
categorical__Dependents_Yes,0.5232309181655723
categorical__PhoneService_No,0.5206466630217028
categorical__Dependents_No,0.4973510544108181
categorical__MultipleLines_Yes,0.46404155795981655
categorical__Partner_No,0.3916310675361839
categorical__DeviceProtection_No,0.3194875211898906
categorical__DeviceProtection_Yes,0.261457124645754
categorical__gender_Female,0.25875500131012363
categorical__gender_Male,0.226734227300249
