customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_flag,Prediction,Probability,Risk_Level,Actual_Churn,Estimated_CLV,Revenue_Risk,Retention_Cost,Expected_Revenue_Saved
7590-VHVEG,Female,False,Yes,No,1,No,,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.850000381469727,29.850000381469727,No,0,1,0.6615,High,0,29.850000381469727,19.745775252342224,4.936443813085556,14.809331439256667
5575-GNVDE,Male,False,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95000076293945,1889.5,No,0,0,0.0432,Very Low,0,1936.3000259399414,83.64816112060548,20.91204028015137,62.736120840454106
3668-QPYBK,Male,False,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.84999847412109,108.1500015258789,Yes,1,0,0.2811,Low,1,107.69999694824217,30.274469142150878,7.568617285537719,22.705851856613158
7795-CFOCW,Male,False,No,No,45,No,,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.29999923706055,1840.75,No,0,0,0.0476,Very Low,0,1903.4999656677246,90.6065983657837,22.651649591445924,67.95494877433777
9237-HQITU,Female,False,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.69999694824219,151.64999389648438,Yes,1,1,0.7208,High,1,141.39999389648438,101.92111560058594,25.480278900146484,76.44083670043945
9305-CDSKC,Female,False,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.6500015258789,820.5,Yes,1,1,0.8054,Critical,1,797.2000122070312,642.0648898315429,160.51622245788573,481.54866737365717
1452-KIOVK,Male,False,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.0999984741211,1949.4000244140625,No,0,0,0.3992,Low,0,1960.199966430664,782.511826599121,195.62795664978026,586.8838699493408
6713-OKOMC,Female,False,No,No,10,No,,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.8999938964844,No,0,0,0.2033,Low,0,297.5,60.481750000000005,15.120437500000001,45.361312500000004
7892-POOKP,Female,False,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8000030517578,3046.050048828125,Yes,1,1,0.5598,Medium,1,2934.4000854492183,1642.6771678344724,410.6692919586181,1232.0078758758543
6388-TABGU,Male,False,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.150001525878906,3487.949951171875,No,0,0,0.0376,Very Low,0,3481.300094604492,130.89688355712892,32.72422088928223,98.17266266784668
