Feature,Mean_Abs_SHAP
numeric__tenure,0.5346650213710935
categorical__Contract_Month-to-month,0.5172550395090423
categorical__InternetService_Fiber optic,0.4181088007658136
numeric__MonthlyCharges,0.22105075065541016
categorical__PaymentMethod_Electronic check,0.17090211688624113
categorical__Contract_Two year,0.1385222225473729
categorical__InternetService_No,0.07820430542405217
categorical__PaperlessBilling_No,0.07480360950339235
categorical__StreamingMovies_No,0.06500370014904767
numeric__TotalCharges,0.060031470625347014
categorical__TechSupport_Yes,0.055957342911616435
categorical__OnlineSecurity_No,0.04306073525499086
categorical__Contract_One year,0.0426608478059061
categorical__MultipleLines_Yes,0.04229658830840782
categorical__SeniorCitizen_Yes,0.036012441444885905
categorical__StreamingMovies_Yes,0.034611467557598405
categorical__OnlineSecurity_Yes,0.03447272697884472
categorical__PaperlessBilling_Yes,0.03403053530727046
categorical__TechSupport_No,0.03264207534858723
categorical__SeniorCitizen_No,0.03141456559440558
categorical__PhoneService_No,0.030022170920687503
categorical__StreamingTV_No,0.0232541905671125
categorical__OnlineBackup_Yes,0.022710873373420336
categorical__StreamingTV_Yes,0.022328277525678272
categorical__OnlineBackup_No,0.01687254320550419
categorical__PaymentMethod_Mailed check,0.01597182028037493
categorical__PhoneService_Yes,0.015761041920509908
categorical__MultipleLines_No,0.01379427816584358
categorical__Dependents_No,0.010992470746411711
categorical__Partner_Yes,0.005069187775673343
categorical__gender_Male,0.004828016746765934
categorical__Dependents_Yes,0.0046740811222465714
categorical__PaymentMethod_Credit card (automatic),0.002943109071347867
categorical__gender_Female,0.0021449411256238855
categorical__DeviceProtection_Yes,0.0020002990350476467
categorical__InternetService_DSL,0.0018682961889076948
categorical__PaymentMethod_Bank transfer (automatic),0.0016138916526921077
categorical__DeviceProtection_No,0.0006535478578414761
categorical__Partner_No,0.0006069762096740306
